"LISTING_ID","HOST_ID","PROPERTY_TYPE","ROOM_TYPE","CITY","COUNTRY","ACCOMMODATES","BEDROOMS","BATHROOMS","PRICE_PER_NIGHT","BEDROOM_DENSITY","PRICE_PER_PERSON","PRICE_PER_NIGHT_TAG","LISTING_CREATED_AT","ETL_LOADED_AT","DBT_SCD_ID","DBT_UPDATED_AT","DBT_VALID_FROM","DBT_VALID_TO"
500001,10098,"APARTMENT","Entire home/apt","toulouse","france",3,2,2,85,0.67,28.33,"MID_RANGE","2020-02-22 14:47:54.000","2026-08-06T10:58:24","dd49b9ee399c5ac130c0d2c7030d2fc0","2020-02-22 14:47:54.000","2020-02-22 14:47:54.000","9999-12-31 00:00:00.000"
500002,10053,"HOUSE","Private room","lyon","france",9,4,3,90,0.44,10.00,"MID_RANGE","2024-04-12 05:46:47.000","2026-08-06T10:58:24","c28f71f5dbaeb4fe564da112b2b7454f","2024-04-12 05:46:47.000","2024-04-12 05:46:47.000","9999-12-31 00:00:00.000"
500003,10012,"APARTMENT","Hotel room","lyon","france",5,2,1,109,0.40,21.80,"MID_RANGE","2021-07-25 08:51:26.000","2026-08-06T10:58:24","d76eefb98f0b34d40275a5da35ef23c1","2021-07-25 08:51:26.000","2021-07-25 08:51:26.000","9999-12-31 00:00:00.000"
500004,10025,"HOUSE","Entire home/apt","marseille","france",10,5,2,163,0.50,16.30,"MID_RANGE","2023-06-16 08:50:47.000","2026-08-06T10:58:24","77516455a06f64151f6d628c8394c267","2023-06-16 08:50:47.000","2023-06-16 08:50:47.000","9999-12-31 00:00:00.000"
500005,10090,"APARTMENT","Entire home/apt","marseille","france",3,1,1,80,0.33,26.67,"MID_RANGE","2018-10-21 14:09:08.000","2026-08-06T10:58:24","2e80e3c946752ede38853b0849d5dffd","2018-10-21 14:09:08.000","2018-10-21 14:09:08.000","9999-12-31 00:00:00.000"
500006,10029,"VILLA","Entire home/apt","montpellier","france",6,2,1,123,0.33,20.50,"MID_RANGE","2023-04-11 23:51:12.000","2026-08-06T10:58:24","02ebed6c5c26bcaa0bbc3fb0311eb785","2023-04-11 23:51:12.000","2023-04-11 23:51:12.000","9999-12-31 00:00:00.000"
500007,10035,"APARTMENT","Entire home/apt","lyon","france",5,2,1,116,0.40,23.20,"MID_RANGE","2022-06-10 10:54:00.000","2026-08-06T10:58:24","f6bacc3ecb7054502d08db08b04dc286","2022-06-10 10:54:00.000","2022-06-10 10:54:00.000","9999-12-31 00:00:00.000"
500008,10018,"APARTMENT","Private room","lille","france",4,2,2,53,0.50,13.25,"BUDGET","2021-12-03 17:24:58.000","2026-08-06T10:58:24","b1e94e48c30ffc9477ed6cd341c840ff","2021-12-03 17:24:58.000","2021-12-03 17:24:58.000","9999-12-31 00:00:00.000"
500009,10076,"HOUSE","Private room","bordeaux","france",12,5,3,122,0.42,10.17,"MID_RANGE","2019-12-27 12:14:31.000","2026-08-06T10:58:24","8bad85db3fc5372de685aaa7959550ba","2019-12-27 12:14:31.000","2019-12-27 12:14:31.000","9999-12-31 00:00:00.000"
500010,10042,"CONDOMINIUM","Entire home/apt","lille","france",3,2,2,61,0.67,20.33,"BUDGET","2025-06-02 14:43:07.000","2026-08-06T10:58:24","461ed70f306549210a07c1b34fdf15f6","2025-06-02 14:43:07.000","2025-06-02 14:43:07.000","9999-12-31 00:00:00.000"
500011,10049,"HOUSE","Private room","lyon","france",7,3,2,71,0.43,10.14,"BUDGET","2020-03-15 18:57:12.000","2026-08-06T10:58:24","be75406b262dab5f69733b8a59aa444a","2020-03-15 18:57:12.000","2020-03-15 18:57:12.000","9999-12-31 00:00:00.000"
500012,10057,"VILLA","Entire home/apt","paris","france",7,3,2,184,0.43,26.29,"MID_RANGE","2022-05-01 18:27:31.000","2026-08-06T10:58:24","8a8f6122e2427e61f4e4a7ce5e2c4720","2022-05-01 18:27:31.000","2022-05-01 18:27:31.000","9999-12-31 00:00:00.000"
